Customer ID,Customer Name,Segment,Location_ID
NF-18385,Natalie Fritzler,Consumer,US-Sou-Vir-Che-23320
SC-20095,Sanjit Chand,Consumer,US-Wes-Cal-Con-94521
ML-17395,Marina Lichtenstein,Corporate,US-Wes-Was-Sea-98103
ST-20530,Shui Tom,Consumer,US-Cen-Tex-Hou-77095
BF-11020,Barry Französisch,Corporate,US-Wes-Was-Sea-98105
MN-17935,Michael Nguyen,Consumer,US-Cen-Tex-Dal-75220
DL-13315,Delfina Latchford,Consumer,US-Cen-Ill-Chi-60653
AB-10015,Aaron Bergman,Consumer,US-Cen-Tex-Arl-76017
TB-21595,Troy Blackwell,Consumer,US-Cen-Tex-Lub-79424
LC-16930,Linda Cazamias,Corporate,US-Cen-Ind-Ric-47374
SR-20740,Steven Roelle,Home Office,US-Wes-Cal-Los-90049
TM-21010,Tamara Manning,Consumer,US-Cen-Ill-Woo-60098
SA-20830,Sue Ann Reed,Consumer,US-Wes-Cal-Mor-92553
MG-17875,Michael Grace,Home Office,US-Cen-Tex-El -79907
JH-15430,Jennifer Halladay,Consumer,US-Wes-Ore-Med-97504
JS-16030,Joy Smith,Consumer,US-Eas-Ohi-Col-43229
VF-21715,Vicky Freymann,Home Office,US-Cen-Ill-Elm-60126
DB-13060,Dave Brooks,Consumer,US-Wes-Was-Sea-98115
SC-20380,Shahid Collister,Consumer,US-Cen-Tex-El -79907
HR-14770,Hallie Redmond,Home Office,US-Eas-New-New-10035
GW-14605,Giulietta Weimer,Consumer,US-Cen-Tex-Hou-77036
KN-16705,Kristina Nunn,Home Office,US-Eas-New-New-10009
NH-18610,Nicole Hansen,Corporate,US-Eas-Pen-Phi-19120
AJ-10945,Ashley Jarboe,Consumer,US-Sou-Nor-Wil-28403
JS-15595,Jill Stevenson,Corporate,US-Eas-Ohi-Col-43229
SC-20020,Sam Craven,Consumer,US-Cen-Tex-Hou-77095
EJ-14155,Eva Jacobs,Consumer,US-Wes-Cal-San-92037
AP-10720,Anne Pryor,Home Office,US-Eas-New-New-10035
SC-20095,Sanjit Chand,Consumer,US-Sou-Flo-Mar-33063
CL-12565,Clay Ludtke,Consumer,US-Sou-Sou-Col-29203
AB-10150,Aimee Bixby,Consumer,US-Eas-New-Yon-10701
CM-12715,Craig Molinari,Corporate,US-Wes-Was-Sea-98103
AB-10015,Aaron Bergman,Consumer,US-Wes-Was-Sea-98103
NP-18685,Nora Pelletier,Home Office,US-Wes-Was-Des-98198
KT-16480,Kean Thornton,Consumer,US-Wes-Col-Den-80219
SW-20275,Scott Williamson,Consumer,US-Cen-Mic-Roy-48073
RB-19435,Richard Bierner,Consumer,US-Wes-Cal-Ros-95661
FM-14215,Filia McAdams,Corporate,US-Sou-Ken-Ric-40475
CK-12205,Chloris Kastensmidt,Consumer,US-Eas-Ohi-Col-43229
KA-16525,Kelly Andreada,Consumer,US-Eas-New-New-10024
CK-12325,Christine Kargatis,Home Office,US-Sou-Vir-Che-23320
DK-13225,Dean Katz,Corporate,US-Wes-Cal-Hun-92646
NF-18475,Neil Französisch,Home Office,US-Sou-Flo-Jac-32216
JF-15295,Jason Fortune-,Consumer,US-Wes-Uta-Log-84321
RB-19465,Rick Bensley,Home Office,US-Cen-Ill-Chi-60653
AS-10240,Alan Shonely,Consumer,US-Sou-Flo-Tam-33614
KN-16705,Kristina Nunn,Home Office,US-Sou-Nor-Ral-27604
MH-17440,Mark Haberlin,Corporate,US-Sou-Mis-Jac-39212
QJ-19255,Quincy Jones,Corporate,US-Eas-Pen-Phi-19134
CP-12340,Christine Phan,Corporate,US-Eas-New-New-10024
BN-11515,Bradley Nguyen,Consumer,US-Cen-Min-Lak-55044
AZ-10750,Annie Zypern,Consumer,US-Cen-Tex-Dal-75217
SM-20320,Sean Miller,Home Office,US-Sou-Flo-Jac-32216
SC-20050,Sample Company A,Home Office,US-Wes-Cal-Bur-91505
EK-13795,Eileen Kiefer,Home Office,US-Wes-Cal-San-94110
MC-17605,Matt Connell,Corporate,US-Sou-Flo-Lak-33801
KH-16690,Kristen Hastings,Corporate,US-Sou-Vir-Spr-22153
GM-14440,Gary McGarr,Consumer,US-Sou-Ten-Kno-37918
CB-12025,Cassandra Brandow,Consumer,US-Eas-Ohi-Ham-45011
TS-21205,Thomas Seio,Corporate,US-Sou-Nor-Ash-28806
BF-11275,Beth Fritzler,Corporate,US-Wes-Ari-Tuc-85705
CC-12685,Craig Carroll,Consumer,US-Sou-Nor-Gre-27405
VM-21835,Vivian Mathis,Consumer,US-Cen-Ind-Por-46368
BG-11740,Bruce Geld,Consumer,US-Sou-Flo-Del-33445
PO-18865,Patrick O'Donnell,Consumer,US-Wes-Cal-Los-90036
MS-17710,Maurice Satty,Consumer,US-Wes-Cal-Fre-93727
CD-11920,Carlos Daly,Consumer,US-Eas-New-New-10024
AZ-10750,Annie Zypern,Consumer,US-Eas-New-New-10009
CA-12265,Christina Anderson,Consumer,US-Wes-Cal-San-94110
CS-12505,Cindy Stewart,Consumer,US-Wes-Cal-Pom-91767
JD-15895,Jonathan Doherty,Corporate,US-Wes-Cal-Los-90036
DK-12835,Damala Kotsonis,Corporate,US-Wes-Cal-San-94122
CV-12295,Christina VanderZanden,Consumer,US-Cen-Iow-Des-50315
DR-12940,Daniel Raglin,Home Office,US-Wes-New-Alb-87105
MP-18175,Mike Pelletier,Home Office,US-Eas-Ohi-Spr-45503
MG-18145,Mike Gockenbach,Consumer,US-Cen-Tex-Pla-75023
MP-17470,Mark Packer,Home Office,US-Cen-Tex-Bro-78521
NC-18340,Nat Carroll,Consumer,US-Cen-Min-App-55124
Dl-13600,Dorris liebe,Corporate,US-Wes-Was-Sea-98105
SG-20890,Susan Gilcrest,Corporate,US-Eas-New-New-10009
KM-16720,Kunst Miller,Consumer,US-Eas-New-Lon-11561
GA-14725,Guy Armstrong,Consumer,US-Wes-Cal-San-94110
TG-21640,Trudy Glocke,Consumer,US-Sou-Flo-Tam-33614
KB-16240,Karen Bern,Corporate,US-Sou-Flo-Mia-33180
DD-13570,Dorothy Dickinson,Consumer,US-Cen-Ill-Chi-60610
JO-15280,Jas O'Carroll,Consumer,US-Eas-Pen-Phi-19120
AA-10315,Alex Avila,Consumer,US-Wes-Cal-San-94122
KM-16720,Kunst Miller,Consumer,US-Wes-Cal-Val-94591
KH-16330,Katharine Harms,Corporate,US-Eas-Mas-Rev-2151
AH-10690,Anna Häberlin,Corporate,US-Sou-Vir-Vir-23464
RD-19585,Rob Dowd,Consumer,US-Sou-Geo-Ath-30605
KE-16420,Katrina Edelman,Corporate,US-Wes-Cal-Los-90008
KB-16585,Ken Black,Corporate,US-Sou-Lou-Laf-70506
MS-17710,Maurice Satty,Consumer,US-Cen-Mic-Det-48205
MZ-17515,Mary Zewe,Corporate,US-Wes-Cal-Los-90008
PK-18910,Paul Knutson,Home Office,US-Wes-Cal-San-94109
JG-15805,John Grady,Corporate,US-Cen-Ill-Dec-62521
RP-19855,Roy Phan,Corporate,US-Sou-Ken-Ric-40475
GM-14695,Greg Maxwell,Corporate,US-Sou-Vir-Ale-22304
RD-19900,Ruben Dartt,Consumer,US-Cen-Mic-Dea-48127
TH-21550,Tracy Hopkins,Home Office,US-Eas-New-New-10035
FH-14275,Frank Hawley,Corporate,US-Wes-Cal-Los-90004
SC-20260,Scott Cohen,Corporate,US-Wes-Was-Sea-98115
SD-20485,Shirley Daniels,Home Office,US-Eas-Pen-Phi-19143
GP-14740,Guy Phonely,Corporate,US-Eas-Pen-Lan-17602
AY-10555,Andy Yotov,Corporate,US-Wes-Cal-Los-90049
PJ-19015,Pauline Johnson,Consumer,US-Sou-Ala-Mob-36608
VM-21685,Valerie Mitchum,Home Office,US-Sou-Geo-Mar-30062
RS-19765,Roland Schwarz,Corporate,US-Sou-Sou-Col-29203
JM-15655,Jim Mitchum,Corporate,US-Wes-Ari-Gle-85301
JS-15880,John Stevenson,Consumer,US-Eas-Ohi-Tol-43615
PC-19000,Pauline Chand,Home Office,US-Wes-Ari-Cha-85224
NM-18445,Nathan Mautz,Home Office,US-Wes-Cal-Con-94521
RA-19885,Ruben Ausman,Corporate,US-Sou-Ala-Dec-35601
JK-15370,Jay Kimmel,Consumer,US-Sou-Flo-Mia-33180
MM-18055,Michelle Moray,Consumer,US-Wes-Mon-Gre-59405
GM-14455,Gary Mitchum,Home Office,US-Cen-Tex-Aus-78745
SE-20110,Sanjit Engle,Consumer,US-Wes-Ida-Lew-83501
KN-16450,Kean Nguyen,Corporate,US-Wes-Cal-Red-90278
EH-13765,Edward Hooks,Corporate,US-Wes-Cal-Lod-95240
SV-20785,Stewart Visinsky,Consumer,US-Cen-Ind-Blo-47401
BF-11170,Ben Ferrer,Home Office,US-Eas-Mar-Bal-21215
JD-15895,Jonathan Doherty,Corporate,US-Eas-Pen-Phi-19140
PS-18970,Paul Stevenson,Home Office,US-Wes-Cal-Los-90049
SP-20650,Stephanie Phelps,Corporate,US-Sou-Nor-Wil-28403
KM-16720,Kunst Miller,Consumer,US-Cen-Tex-Hou-77095
JL-15835,John Lee,Consumer,US-Wes-Cal-Los-90049
AG-10390,Allen Goldenen,Consumer,US-Sou-Vir-Arl-22204
SV-20365,Seth Vernon,Consumer,US-Cen-Tex-Hou-77070
BP-11230,Benjamin Patterson,Consumer,US-Wes-Cal-Los-90045
DB-13555,Dorothy Badders,Corporate,US-Sou-Ken-Hen-42420
AA-10375,Allen Armold,Consumer,US-Wes-Cal-Los-90008
AH-10030,Aaron Hawkins,Corporate,US-Eas-New-Tro-12180
NM-18445,Nathan Mautz,Home Office,US-Wes-Cal-San-94109
TS-21160,Theresa Swint,Corporate,US-Eas-Pen-Phi-19134
LB-16795,Laurel Beltran,Home Office,US-Eas-Ohi-Col-43229
DA-13450,Dianna Arnett,Home Office,US-Cen-Tex-Hou-77095
BT-11305,Beth Thompson,Home Office,US-Wes-Cal-San-91776
LC-16885,Lena Creighton,Consumer,US-Sou-Nor-Wil-28403
MH-17290,Marc Harrigan,Home Office,US-Wes-Cal-Los-90036
AG-10300,Aleksandra Gannaway,Corporate,US-Wes-Cal-Los-90049
GB-14530,George Bell,Corporate,US-Eas-Ohi-New-43055
DS-13180,David Smith,Corporate,US-Eas-New-Jam-14701
MY-18295,Muhammed Yedwab,Corporate,US-Eas-Mar-Bal-21215
AI-10855,Arianne Irving,Consumer,US-Wes-Cal-San-94122
LA-16780,Laura Armstrong,Corporate,US-Sou-Ten-Mem-38109
KH-16360,Katherine Hughes,Consumer,US-Eas-Del-Dov-19901
LL-16840,Lauren Leatherbury,Consumer,US-Eas-New-Roc-14609
HG-14845,Harry Greene,Consumer,US-Sou-Lou-Lak-70601
TM-21010,Tamara Manning,Consumer,US-Sou-Mis-Jac-39212
JM-16195,Justin MacKendrick,Consumer,US-Sou-Ken-Lou-40214
AR-10510,Andrew Roberts,Consumer,US-Eas-Ohi-Col-43229
CS-11860,Cari Schnelling,Consumer,US-Sou-Flo-Lak-33801
JS-15940,Joni Sundaresam,Home Office,US-Cen-Wis-App-54915
NC-18415,Nathan Cano,Consumer,US-Eas-New-Yon-10701
NC-18340,Nat Carroll,Consumer,US-Cen-Tex-Hou-77036
BS-11365,Bill Shonely,Corporate,US-Wes-Was-Sea-98105
PM-18940,Paul MacIntyre,Consumer,US-Cen-Mic-Jac-49201
GD-14590,Giulietta Dortch,Corporate,US-Sou-Vir-Arl-22204
KH-16330,Katharine Harms,Corporate,US-Cen-Ill-Fre-61032
PF-19120,Peter Fuller,Consumer,US-Sou-Ken-Ric-40475
SN-20710,Steve Nguyen,Home Office,US-Wes-Cal-Los-90004
HP-14815,Harold Pawlan,Home Office,US-Wes-Cal-Los-90049
CT-11995,Carol Triggs,Consumer,US-Eas-Mas-Law-1841
KT-16480,Kean Thornton,Consumer,US-Eas-Pen-Phi-19134
SB-20290,Sean Braxton,Corporate,US-Sou-Ken-Hen-42420
PG-18820,Patrick Gardner,Consumer,US-Wes-Cal-San-94110
AI-10855,Arianne Irving,Consumer,US-Wes-Was-Ken-98031
GM-14680,Greg Matthias,Consumer,US-Wes-Cal-San-95123
AF-10885,Art Foster,Consumer,US-Eas-Pen-Phi-19134
VW-21775,Victoria Wilson,Corporate,US-Cen-Tex-Hun-77340
RM-19375,Raymond Messe,Consumer,US-Cen-Tex-Hou-77095
BG-11695,Brooke Gillingham,Corporate,US-Eas-New-Wat-13601
HD-14785,Harold Dahlen,Home Office,US-Cen-Ill-Chi-60610
PG-18895,Paul Gonzalez,Consumer,US-Cen-Tex-For-76106
KT-16480,Kean Thornton,Consumer,US-Eas-Mas-Fra-2038
HL-15040,Hunter Lopez,Consumer,US-Cen-Wis-Mil-53209
AH-10030,Aaron Hawkins,Corporate,US-Wes-Cal-Los-90004
EH-14005,Erica Hernandez,Home Office,US-Sou-Flo-Hia-33012
AG-10270,Alejandro Grove,Consumer,US-Wes-Uta-Wes-84084
NP-18325,Naresj Patel,Consumer,US-Wes-Cal-Oak-94601
AJ-10795,Anthony Johnson,Corporate,US-Sou-Flo-Sai-33710
CC-12475,Cindy Chapman,Consumer,US-Wes-Cal-San-94122
PW-19030,Pauline Webber,Corporate,US-Wes-Cal-Los-90036
PA-19060,Pete Armstrong,Home Office,US-Cen-Wis-Eau-54703
GA-14515,George Ashbrook,Consumer,US-Cen-Tex-Dal-75220
TT-21070,Ted Trevino,Consumer,US-Eas-Ohi-Akr-44312
BS-11755,Bruce Stewart,Consumer,US-Eas-Ohi-Cle-44105
TD-20995,Tamara Dahlen,Consumer,US-Sou-Vir-Vir-23464
JH-15820,John Huston,Consumer,US-Cen-Mic-Mid-48640
RF-19345,Randy Ferguson,Corporate,US-Eas-New-Dov-3820
MC-17590,Matt Collister,Corporate,US-Cen-Tex-San-78666
KH-16360,Katherine Hughes,Consumer,US-Cen-Tex-Hou-77070
BT-11530,Bradley Talbott,Home Office,US-Wes-Cal-San-92037
MW-18235,Mitch Willingham,Corporate,US-Sou-Vir-Vir-23464
FG-14260,Frank Gastineau,Home Office,US-Eas-Mas-Law-1841
EH-14185,Evan Henry,Consumer,US-Sou-Ala-Dec-35601
GT-14710,Greg Tran,Consumer,US-Eas-New-New-10035
AR-10510,Andrew Roberts,Consumer,US-Eas-Pen-Phi-19134
EH-13990,Erica Hackney,Consumer,US-Wes-Was-Bel-98006
RP-19390,Resi Pölking,Consumer,US-Eas-Mar-Bal-21215
JL-15235,Janet Lee,Consumer,US-Cen-Ill-Chi-60623
BW-11065,Barry Weirich,Consumer,US-Eas-New-New-10035
MM-18055,Michelle Moray,Consumer,US-Cen-Ill-Chi-60623
HF-14995,Herbert Flentye,Consumer,US-Wes-Cal-Los-90008
ML-17395,Marina Lichtenstein,Corporate,US-Wes-Cal-Los-90008
Dp-13240,Dean percer,Home Office,US-Wes-Uta-Mur-84107
MH-17785,Maya Herman,Corporate,US-Wes-Cal-San-92105
LC-16885,Lena Creighton,Consumer,US-Wes-Cal-San-94109
LE-16810,Laurel Elliston,Consumer,US-Cen-Ill-Chi-60653
PJ-18835,Patrick Jones,Corporate,US-Wes-Was-Sea-98115
MM-17260,Magdelene Morse,Consumer,US-Wes-Was-Sea-98105
LW-16825,Laurel Workman,Corporate,US-Eas-New-New-10024
EB-13840,Ellis Ballard,Corporate,US-Sou-Vir-Ric-23223
MC-17425,Mark Cousins,Corporate,US-Cen-Ill-Chi-60623
SS-20410,Shahid Shariari,Consumer,US-Cen-Ill-Buf-60089
JG-15160,James Galang,Consumer,US-Eas-New-New-10024
JK-15625,Jim Karlsson,Consumer,US-Sou-Mis-Jac-39212
DW-13480,Dianna Wilson,Home Office,US-Cen-Min-Lak-55044
CR-12625,Corey Roper,Home Office,US-Eas-New-Lak-8701
QJ-19255,Quincy Jones,Corporate,US-Cen-Mic-Det-48234
LT-17110,Liz Thompson,Consumer,US-Sou-Ark-Lit-72209
CK-12325,Christine Kargatis,Home Office,US-Wes-Uta-Ore-84057
SV-20785,Stewart Visinsky,Consumer,US-Sou-Geo-Ros-30076
RE-19450,Richard Eichhorn,Consumer,US-Cen-Ill-Dec-62521
SC-20725,Steven Cartwright,Consumer,US-Wes-Was-Sea-98115
RB-19795,Ross Baird,Home Office,US-Cen-Mic-Mid-48640
MP-17470,Mark Packer,Home Office,US-Eas-Ohi-Col-43229
BT-11440,Bobby Trafton,Consumer,US-Eas-New-New-10035
SV-20785,Stewart Visinsky,Consumer,US-Sou-Flo-Jac-32216
SB-20170,Sarah Bern,Consumer,US-Cen-Ill-Chi-60623
GT-14635,Grant Thornton,Corporate,US-Eas-New-Lon-11561
VT-21700,Valerie Takahito,Home Office,US-Cen-Tex-Hou-77070
BM-11785,Bryan Mills,Consumer,US-Eas-New-Roc-14609
NR-18550,Nick Radford,Consumer,US-Cen-Ill-Aur-60505
BP-11095,Bart Pistole,Corporate,US-Cen-Ill-Peo-61604
KE-16420,Katrina Edelman,Corporate,US-Sou-Ten-Bri-37620
RD-19480,Rick Duston,Consumer,US-Eas-New-Lon-11561
CS-11950,Carlos Soltero,Consumer,US-Wes-Was-Sea-98115
BH-11710,Brosina Hoffman,Consumer,US-Wes-Cal-Los-90032
CW-11905,Carl Weiss,Home Office,US-Cen-Tex-Hun-77340
TS-21205,Thomas Seio,Corporate,US-Wes-Nev-Nor-89031
CM-12445,Chuck Magee,Consumer,US-Wes-Cal-San-94122
FO-14305,Frank Olsen,Consumer,US-Sou-Vir-Har-22801
HK-14890,Heather Kirkland,Corporate,US-Cen-Mic-Det-48234
FM-14215,Filia McAdams,Corporate,US-Wes-Cal-Los-90032
SR-20425,Sharelle Roach,Home Office,US-Cen-Mic-Det-48234
PS-18760,Pamela Stobb,Consumer,US-Cen-Tex-El -79907
KL-16555,Kelly Lampkin,Corporate,US-Cen-Tex-San-78207
CK-12205,Chloris Kastensmidt,Consumer,US-Eas-New-Hem-11550
SC-20575,Sonia Cooley,Consumer,US-Cen-Ind-Mis-46544
JF-15415,Jennifer Ferguson,Consumer,US-Cen-Ill-Chi-60653
GH-14425,Gary Hwang,Consumer,US-Wes-Was-Sea-98105
DB-13660,Duane Benoit,Consumer,US-Eas-Del-New-19711
MC-18100,Mick Crebagga,Consumer,US-Wes-Cal-Los-90036
SC-20020,Sam Craven,Consumer,US-Cen-Tex-Pla-75023
Co-12640,Corey-Lock,Consumer,US-Cen-Okl-Law-73505
NW-18400,Natalie Webber,Consumer,US-Eas-Pen-Phi-19120
SV-20785,Stewart Visinsky,Consumer,US-Wes-Col-Pue-81001
DB-13060,Dave Brooks,Consumer,US-Eas-New-Lak-8701
RM-19375,Raymond Messe,Consumer,US-Eas-Con-Mer-6450
NP-18325,Naresj Patel,Consumer,US-Sou-Vir-Way-22980
TB-21280,Toby Braunhardt,Consumer,US-Eas-New-New-10024
JG-15160,James Galang,Consumer,US-Eas-New-Lon-11561
TB-21280,Toby Braunhardt,Consumer,US-Wes-Ari-Pho-85023
DV-13465,Dianna Vittorini,Consumer,US-Cen-Min-Min-55407
AA-10645,Anna Andreadi,Consumer,US-Eas-Pen-Che-19013
JE-15745,Joel Eaton,Consumer,US-Wes-Col-Lou-80027
BS-11665,Brian Stugart,Consumer,US-Eas-Pen-Phi-19143
DL-13330,Denise Leinenbach,Consumer,US-Sou-Nor-Con-28027
LP-17080,Liz Pelletier,Consumer,US-Wes-Ari-Tuc-85705
GK-14620,Grace Kelly,Corporate,US-Wes-Ore-Sal-97301
NS-18640,Noel Staavos,Corporate,US-Wes-Cal-Los-90049
LM-17065,Liz MacKendrick,Consumer,US-Sou-Mis-Sou-38671
RW-19630,Rob Williams,Corporate,US-Cen-Mic-Det-48234
CA-12775,Cynthia Arntzen,Consumer,US-Eas-Pen-Phi-19140
JK-15625,Jim Karlsson,Consumer,US-Eas-New-New-10024
DL-12865,Dan Lawera,Consumer,US-Eas-Ohi-Cin-45231
AR-10825,Anthony Rawles,Corporate,US-Wes-Cal-Los-90004
MS-17980,Michael Stewart,Corporate,US-Cen-Tex-Hou-77095
BD-11620,Brian DeCherney,Consumer,US-Sou-Nor-Wil-28403
CS-11860,Cari Schnelling,Consumer,US-Eas-New-New-10011
RA-19915,Russell Applegate,Consumer,US-Cen-Ill-Chi-60653
HA-14905,Helen Abelman,Consumer,US-Eas-New-New-10024
LW-16825,Laurel Workman,Corporate,US-Sou-Flo-Del-32725
EH-13945,Eric Hoffmann,Consumer,US-Eas-New-Pla-7060
KE-16420,Katrina Edelman,Corporate,US-Wes-Col-Aur-80013
MS-17770,Maxwell Schwartz,Consumer,US-Sou-Vir-Ric-23223
DW-13195,David Wiener,Corporate,US-Sou-Ten-Kno-37918
DM-13525,Don Miller,Corporate,US-Sou-Flo-Pal-32137
MC-17845,Michael Chen,Consumer,US-Sou-Mis-Jac-39212
DC-12850,Dan Campbell,Consumer,US-Cen-Tex-Hou-77036
DP-13390,Dennis Pardue,Home Office,US-Wes-Cal-Los-90004
EP-13915,Emily Phan,Consumer,US-Eas-New-New-10011
BC-11125,Becky Castell,Home Office,US-Wes-Cal-El -92020
JL-15835,John Lee,Consumer,US-Eas-Pen-Phi-19120
MH-18025,Michelle Huthwaite,Consumer,US-Eas-New-Buf-14215
EB-13705,Ed Braxton,Corporate,US-Wes-Cal-San-94122
GH-14410,Gary Hansen,Home Office,US-Wes-Cal-Los-90049
BM-11650,Brian Moss,Corporate,US-Cen-Tex-Dal-75217
DS-13030,Darrin Sayre,Home Office,US-Wes-Cal-San-94122
LA-16780,Laura Armstrong,Corporate,US-Eas-New-Hac-7601
MN-17935,Michael Nguyen,Consumer,US-Cen-Tex-El -79907
MH-17455,Mark Hamilton,Consumer,US-Eas-New-New-10011
JK-15205,Jamie Kunitz,Consumer,US-Eas-New-Nia-14304
ME-17725,Max Engle,Consumer,US-Cen-Ill-Chi-60610
AC-10420,Alyssa Crouse,Corporate,US-Wes-Cal-San-94122
PV-18985,Paul Van Hugh,Home Office,US-Cen-Tex-Lea-77573
BF-11170,Ben Ferrer,Home Office,US-Wes-Cal-Los-90036
CL-12565,Clay Ludtke,Consumer,US-Wes-Was-Sea-98115
GK-14620,Grace Kelly,Corporate,US-Wes-Cal-Los-90049
ST-20530,Shui Tom,Consumer,US-Eas-Pen-Phi-19140
SS-20515,Shirley Schmidt,Home Office,US-Eas-Del-New-19711
PB-19150,Philip Brown,Consumer,US-Wes-Ari-Pho-85023
AW-10930,Arthur Wiediger,Home Office,US-Cen-Ill-Aur-60505
BF-10975,Barbara Fisher,Corporate,US-Eas-New-New-10009
VW-21775,Victoria Wilson,Corporate,US-Cen-Sou-Sio-57103
AH-10120,Adrian Hane,Home Office,US-Wes-Ari-Tuc-85705
JL-15130,Jack Lebron,Consumer,US-Eas-New-New-10801
CA-12310,Christine Abelman,Corporate,US-Eas-Con-Bri-6010
EM-14140,Eugene Moren,Home Office,US-Wes-Mon-Gre-59405
SW-20245,Scot Wooten,Consumer,US-Eas-Ohi-Spr-45503
KM-16375,Katherine Murray,Home Office,US-Cen-Tex-Dal-75217
CC-12145,Charles Crestani,Consumer,US-Wes-Cal-San-92105
RD-19720,Roger Demir,Consumer,US-Wes-Cal-San-94122
JD-15895,Jonathan Doherty,Corporate,US-Wes-Cal-Riv-92503
HM-14860,Harry Marie,Corporate,US-Cen-Tex-Dal-75217
ME-18010,Michelle Ellison,Corporate,US-Wes-Cal-San-94122
PG-18820,Patrick Gardner,Consumer,US-Cen-Neb-Oma-68104
NP-18325,Naresj Patel,Consumer,US-Wes-Cal-San-94122
EM-14065,Erin Mull,Consumer,US-Eas-New-New-10024
AB-10255,Alejandro Ballentine,Home Office,US-Wes-Cal-Los-90008
JL-15850,John Lucas,Consumer,US-Cen-Tex-Hou-77095
NC-18535,Nick Crebassa,Corporate,US-Wes-Cal-San-94122
AG-10270,Alejandro Grove,Consumer,US-Eas-New-New-10011
AG-10900,Arthur Gainer,Consumer,US-Wes-Ari-Tuc-85705
KL-16645,Ken Lonsdale,Consumer,US-Wes-Cal-San-94122
VF-21715,Vicky Freymann,Home Office,US-Wes-Cal-Los-90045
SG-20470,Sheri Gordon,Consumer,US-Sou-Geo-Atl-30318
LF-17185,Luke Foster,Consumer,US-Cen-Tex-San-78207
KM-16720,Kunst Miller,Consumer,US-Wes-Nev-Nor-89031
CL-11890,Carl Ludwig,Consumer,US-Cen-Ill-Chi-60623
JO-15145,Jack O'Briant,Corporate,US-Wes-Uta-Dra-84020
AS-10045,Aaron Smayling,Corporate,US-Eas-New-New-10035
GW-14605,Giulietta Weimer,Consumer,US-Wes-Cal-San-94122
BB-10990,Barry Blumstein,Corporate,US-Wes-Cal-Los-90036
